date,kodex_open,sp500_closing,PER,KR_10Y,kodex_volume,Dividend_Yield
2023-10-25,31920.0,4186.77,16.06,4.259,3758074,2.27
2023-10-24,31905.0,4247.68,16.16,4.273,5387775,2.25
2023-10-23,32175.0,4217.04,16.01,4.366,3815317,2.27
2023-10-20,32635.0,4224.16,16.14,4.332,5747441,2.26
2023-10-19,32835.0,4278.0,16.38,4.378,5179844,2.22
2023-10-18,32750.0,4314.6,16.69,4.291,5119785,2.18
2023-10-17,32610.0,4373.2,16.62,4.227,4094158,2.19
2023-10-16,32755.0,4373.63,16.41,4.182,4402616,2.22
2023-10-13,32865.0,4327.78,16.54,4.175,3346991,2.2
2023-10-12,32595.0,4349.61,16.69,4.093,6337428,2.18
2023-10-11,32405.0,4376.95,16.48,4.152,6209888,2.21
2023-10-10,32060.0,4358.24,16.19,4.216,5059978,2.25
2023-10-06,32235.0,4308.5,16.18,4.241,5530666,2.25
2023-10-05,32480.0,4258.19,16.16,4.327,8742454,2.25
2023-10-04,32620.0,4263.75,16.21,4.35,12823224,2.25
2023-09-27,33230.0,4274.51,16.57,4.031,11126321,2.2
2023-09-26,33105.0,4273.53,16.58,4.042,8274671,2.2
2023-09-25,33005.0,4337.44,16.82,4.007,5527636,2.16
2023-09-22,33715.0,4320.06,16.84,4.015,7803331,2.16
2023-09-21,33900.0,4330.0,16.89,4.031,8451806,2.16
2023-09-20,34250.0,4402.2,17.18,3.978,4933163,2.12
2023-09-19,34325.0,4443.95,17.18,3.951,5277235,2.12
2023-09-18,34190.0,4453.53,13.91,3.983,4430765,2.11
2023-09-15,33770.0,4450.32,14.09,3.928,10140955,2.08
2023-09-14,33650.0,4505.1,13.93,3.917,3539713,2.1
2023-09-13,33940.0,4467.44,13.72,3.953,4489610,2.14
2023-09-12,33745.0,4461.9,13.7,3.962,4650274,2.14
2023-09-11,33725.0,4487.46,13.79,3.97,4173679,2.13
2023-09-08,33755.0,4457.49,13.74,3.896,4100271,2.13
2023-09-07,34025.0,4451.14,13.75,3.977,3837258,2.13
2023-09-06,34040.0,4465.48,13.8,3.883,3958831,2.12
2023-09-05,33485.0,4496.83,13.9,3.888,3559458,2.11
2023-09-01,33630.0,4515.77,13.82,3.776,7052806,2.12
2023-08-31,33790.0,4507.66,13.67,3.822,3830111,2.14
2023-08-30,33470.0,4514.87,13.68,3.846,3237969,2.14
2023-08-29,33290.0,4497.63,13.63,3.833,4018417,2.15
2023-08-28,32980.0,4433.31,13.58,3.871,4015465,2.16
2023-08-25,33345.0,4405.71,13.49,3.934,4595875,2.17
2023-08-24,32905.0,4376.31,13.63,3.88,4040484,2.15
